asset_id,asset_name,asset_label,year,month,ts,estadoOn,timeOn
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558000,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558060,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558120,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558240,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558300,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558360,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558420,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558480,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558540,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558600,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558660,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558720,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558780,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558840,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558900,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.558960,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.559020,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.559080,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.559140,,3586200
b0494190-a1dd-11ef-b067-1b5a3182c1f7,La Aurora - Bomba Chilcas 1,ASSET_001,2025,12,1970-01-01 00:29:24.559200,,3586200
