asset_id,asset_name,asset_label,year,month,ts,nivelEstanque,nivelPorcentual
52ae4960-c9c8-11ee-b546-799a8dee664b,La Aurora - Estanque principal,ASSET_001,2024,11,1970-01-01 00:28:50.432520,1.68,88.6
52ae4960-c9c8-11ee-b546-799a8dee664b,La Aurora - Estanque principal,ASSET_001,2024,11,1970-01-01 00:28:50.432580,1.65,87.02
52ae4960-c9c8-11ee-b546-799a8dee664b,La Aurora - Estanque principal,ASSET_001,2024,11,1970-01-01 00:28:50.432640,1.63,85.8
52ae4960-c9c8-11ee-b546-799a8dee664b,La Aurora - Estanque principal,ASSET_001,2024,11,1970-01-01 00:28:50.432700,1.64,86.45
52ae4960-c9c8-11ee-b546-799a8dee664b,La Aurora - Estanque principal,ASSET_001,2024,11,1970-01-01 00:28:50.432760,1.65,86.73
52ae4960-c9c8-11ee-b546-799a8dee664b,La Aurora - Estanque principal,ASSET_001,2024,11,1970-01-01 00:28:50.432820,1.66,87.38
52ae4960-c9c8-11ee-b546-799a8dee664b,La Aurora - Estanque principal,ASSET_001,2024,11,1970-01-01 00:28:50.432880,1.66,87.38
52ae4960-c9c8-11ee-b546-799a8dee664b,La Aurora - Estanque principal,ASSET_001,2024,11,1970-01-01 00:28:50.432940,1.67,87.89
52ae4960-c9c8-11ee-b546-799a8dee664b,La Aurora - Estanque principal,ASSET_001,2024,11,1970-01-01 00:28:50.433000,1.68,88.53
52ae4960-c9c8-11ee-b546-799a8dee664b,La Aurora - Estanque principal,ASSET_001,2024,11,1970-01-01 00:28:50.433060,1.68,88.68
52ae4960-c9c8-11ee-b546-799a8dee664b,La Aurora - Estanque principal,ASSET_001,2024,11,1970-01-01 00:28:50.433120,1.7,89.4
52ae4960-c9c8-11ee-b546-799a8dee664b,La Aurora - Estanque principal,ASSET_001,2024,11,1970-01-01 00:28:50.433180,1.7,89.61
52ae4960-c9c8-11ee-b546-799a8dee664b,La Aurora - Estanque principal,ASSET_001,2024,11,1970-01-01 00:28:50.433240,1.71,90.19
52ae4960-c9c8-11ee-b546-799a8dee664b,La Aurora - Estanque principal,ASSET_001,2024,11,1970-01-01 00:28:50.433300,1.72,90.54
